id,region,municipality,settlement,type,Population,Children,latitude_dms,longitude_dms,latitude_dd,longitude_dd,oktmo,dadata,rosstat,Index_2000,region_id
2038,Республика Крым,Судак,Судак,г,32488,0,44.51.02,034.58.34,44.8505555555556,34.9761111111111,35723000001.0,0,1,-0.552280175215496,12
2003,Иркутская область,Тайшетский район,Тайшет,г,32754,10402,55.56.26,098.00.11,55.9405555555556,98.0030555555556,25636101001.0,0,1,-2.54512973412467,42
10090,Ярославская область,Угличский район,Углич,г,32766,8075,57.31.36,038.19.35,57.5266666666667,38.3263888888889,78646101001.0,0,1,-2.85532102165155,77
130689,Ивановская область,Тейковский район,Тейково,г,32791,6062,56.51.00,040.31.59,56.85,40.5330555555556,24707000001.0,1,0,-3.31672482942824,41
42741,Московская область,Шатурский,Шатура,г,32885,6444,55.34.40,039.32.40,55.5777777777778,39.5444444444444,46786000001.0,0,1,-2.75068025805244,53
9692,Амурская область,Тында,Тында,г,32920,6604,55.09.17,124.43.45,55.1547222222222,124.729166666667,10732000001.0,0,1,-1.63539589897839,32
47327,Калужская область,Малоярославецкий,Малоярославец,г,32989,7933,55.00.43,036.27.45,55.0119444444444,36.4625,29623101001.0,0,1,1.57322390901322,44
92497,Пермский край,Чернушинский район,Чернушка,г,32997,8157,56.30.58,056.04.35,56.5161111111111,56.0763888888889,57757000001.0,0,1,2.19429043029203,28
42122,Пермский край,Добрянский район,Добрянка,г,33083,8032,58.28.11,056.24.47,58.4697222222222,56.4130555555556,57718000001.0,0,1,1.58654268618219,28
63076,Нижегородская область,Городецкий район,Городец,г,33089,6760,56.38.41,043.28.20,56.6447222222222,43.4722222222222,22628101001.0,1,0,-0.426807149660399,55
99801,Красноярский край,Сосновоборск,Сосновоборск,г,33091,5959,56.07.13,093.20.08,56.1202777777778,93.3355555555556,4733000001.0,0,1,0.0606695908094017,27
155198,Калининградская область,Балтийский район,Балтийск,г,33151,5781,54.38.39,019.53.32,54.6441666666667,19.8922222222222,27705000001.0,0,1,4.41915065191566,43
3553,Белгородская область,Валуйский район,Валуйки,г,33433,6110,50.12.40,038.06.00,50.2111111111111,38.1,14720000001.0,0,1,2.79862320476326,35
